-4.458167776465415955e-02,-2.024663425981998444e-02,7.011553645133972168e-01,2.300256397575139999e-03,6.196588650345802307e-02,1.143435314297676086e-01,9.915041327476501465e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.050691772252321243e-02,-1.259488463401794434e+00,3.065743148326873779e-01,-3.488900363445281982e-01,5.896402522921562195e-02,1.213373422622680664e+00,3.027272820472717285e-01,5.631806254386901855e-01,-2.270346507430076599e-02,-1.976192146539688110e-01,5.302643403410911560e-02,-9.505207091569900513e-02,-7.353602558371913908e-18,-1.488366443663835526e-02,2.391954138875007629e-02,-1.327302753925323486e-01,-8.933659642934799194e-02,-1.396741271018981934e-01,-5.550196621773603820e-18,-3.653252497315406799e-02,3.316988423466682434e-02
-4.439218714833259583e-02,-2.013789489865303040e-02,7.012081742286682129e-01,1.850658096373081207e-03,6.257550418376922607e-02,1.139842346310615540e-01,9.915081858634948730e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.289487164467573166e-02,-1.259880065917968750e+00,3.035953938961029053e-01,-3.427784740924835205e-01,5.770987644791603088e-02,1.213492989540100098e+00,3.072046339511871338e-01,5.631562471389770508e-01,-1.741359755396842957e-02,-1.998704075813293457e-01,5.300569161772727966e-02,-9.920986741781234741e-02,8.179419977275454194e-18,-1.448611356317996979e-02,2.308674529194831848e-02,-1.326395571231842041e-01,-8.900126069784164429e-02,-1.434413641691207886e-01,-6.056722324231675423e-18,-3.655196353793144226e-02,3.469072282314300537e-02
-4.431018978357315063e-02,-2.010453119874000549e-02,7.012564539909362793e-01,1.482957508414983749e-03,6.287562102079391479e-02,1.135979518294334412e-01,9.915341734886169434e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.274405885487794876e-02,-1.259035825729370117e+00,2.956218123435974121e-01,-3.393625020980834961e-01,5.966334417462348938e-02,1.207985877990722656e+00,3.068612515926361084e-01,5.680781006813049316e-01,-1.629057154059410095e-02,-2.005873918533325195e-01,5.381224676966667175e-02,-9.877986460924148560e-02,2.607004457068063497e-18,-1.446004863828420639e-02,2.075429074466228485e-02,-1.332317292690277100e-01,-8.816251903772354126e-02,-1.426077038049697876e-01,1.408518514843865228e-17,-3.564951196312904358e-02,3.422671183943748474e-02
-4.430695623159408569e-02,-2.010943368077278137e-02,7.013335227966308594e-01,1.133301761001348495e-03,6.318034976720809937e-02,1.127480566501617432e-01,9.916122555732727051e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.620665848255157471e-03,-1.245475888252258301e+00,2.812405526638031006e-01,-3.365819454193115234e-01,6.350548565387725830e-02,1.192858457565307617e+00,3.005952537059783936e-01,5.817275643348693848e-01,-1.590248383581638336e-02,-2.010314911603927612e-01,5.496712774038314819e-02,-9.657595306634902954e-02,-2.240710683856106676e-18,-1.326565444469451904e-02,1.855412498116493225e-02,-1.344518661499023438e-01,-8.709882944822311401e-02,-1.410430818796157837e-01,-1.426317456392536256e-18,-3.492804989218711853e-02,3.403770178556442261e-02
-4.436639696359634399e-02,-2.012522518634796143e-02,7.014551758766174316e-01,1.084671355783939362e-03,6.368694454431533813e-02,1.103444620966911316e-01,9.918502569198608398e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.970626439899206161e-03,-1.224685668945312500e+00,2.684352397918701172e-01,-3.501923382282257080e-01,6.851585209369659424e-02,1.175418019294738770e+00,2.903714776039123535e-01,6.047188639640808105e-01,-1.534673385322093964e-02,-2.013228982686996460e-01,5.594012886285781860e-02,-9.401348978281021118e-02,-3.821847399597130357e-19,-1.168666966259479523e-02,1.818461716175079346e-02,-1.369393616914749146e-01,-8.636337518692016602e-02,-1.385528892278671265e-01,-9.696350106689499313e-18,-3.464564681053161621e-02,3.449765220284461975e-02
-4.470511525869369507e-02,-2.015779167413711548e-02,7.015219926834106445e-01,5.514548975042998791e-04,6.335398554801940918e-02,1.075528338551521301e-01,9.921786189079284668e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.086806971579790115e-02,-1.209401249885559082e+00,2.620464265346527100e-01,-3.778105676174163818e-01,7.517115026712417603e-02,1.154551148414611816e+00,2.759400010108947754e-01,6.368308663368225098e-01,-1.284089963883161545e-02,-2.005940824747085571e-01,5.810544267296791077e-02,-9.154207259416580200e-02,-8.982925026335989111e-19,-8.302947506308555603e-03,2.169534191489219666e-02,-1.379080265760421753e-01,-8.448660373687744141e-02,-1.365171819925308228e-01,-4.413504876337934462e-19,-3.121717646718025208e-02,3.773608803749084473e-02
-4.460669681429862976e-02,-2.027728594839572906e-02,7.018136382102966309e-01,2.140926371794193983e-04,6.508307158946990967e-02,1.041641235351562500e-01,9.924283027648925781e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.065995335578918457e-02,-1.193091869354248047e+00,2.592265903949737549e-01,-4.196456968784332275e-01,8.070981502532958984e-02,1.134498953819274902e+00,2.597990930080413818e-01,6.701936721801757812e-01,-9.840060025453567505e-03,-2.036681622266769409e-01,5.967921391129493713e-02,-8.964420109987258911e-02,1.191347704410110662e-18,-5.875205621123313904e-03,2.210137248039245605e-02,-1.431912481784820557e-01,-8.302211761474609375e-02,-1.322904527187347412e-01,3.651618592617392580e-18,-2.978901565074920654e-02,3.622515127062797546e-02
-4.453238472342491150e-02,-2.077533863484859467e-02,7.019982337951660156e-01,5.688558449037373066e-04,6.652890145778656006e-02,1.012756004929542542e-01,9.926312565803527832e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.334148228168487549e-02,-1.175567626953125000e+00,2.583203017711639404e-01,-4.660154581069946289e-01,8.669418096542358398e-02,1.114569902420043945e+00,2.426352202892303467e-01,7.050775885581970215e-01,-6.765267346054315567e-03,-2.064290195703506470e-01,6.007768586277961731e-02,-8.756496012210845947e-02,8.347071289466476737e-19,-3.747028764337301254e-03,2.046397514641284943e-02,-1.475954800844192505e-01,-8.279185742139816284e-02,-1.292390078306198120e-01,-3.185472538941709576e-18,-2.937756106257438660e-02,3.462735190987586975e-02
-4.437109827995300293e-02,-2.146303281188011169e-02,7.021500468254089355e-01,1.616659224964678288e-03,6.822570413351058960e-02,9.760405123233795166e-02,9.928827285766601562e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.836134240031242371e-02,-1.156098961830139160e+00,2.613946795463562012e-01,-5.158364772796630859e-01,9.148490428924560547e-02,1.095114111900329590e+00,2.299633175134658813e-01,7.396563291549682617e-01,-3.071612911298871040e-03,-2.093062698841094971e-01,5.925453826785087585e-02,-8.641503006219863892e-02,-5.632568094352246869e-18,-1.613113330677151680e-03,1.771148107945919037e-02,-1.525247693061828613e-01,-8.382694423198699951e-02,-1.273120045661926270e-01,5.815205437700892615e-18,-2.971842698752880096e-02,3.331128880381584167e-02
-4.388101026415824890e-02,-2.227843552827835083e-02,7.023709416389465332e-01,2.458127448335289955e-03,7.095347344875335693e-02,9.516297280788421631e-02,9.929267764091491699e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.546206772327423096e-02,-1.137028098106384277e+00,2.654536068439483643e-01,-5.654178261756896973e-01,9.315027296543121338e-02,1.077164888381958008e+00,2.217801213264465332e-01,7.703782916069030762e-01,7.840937469154596329e-04,-2.148820310831069946e-01,5.848503112792968750e-02,-8.653003722429275513e-02,7.427012356194157456e-18,6.623849621973931789e-04,1.403976418077945709e-02,-1.588529646396636963e-01,-8.468024432659149170e-02,-1.256697922945022583e-01,-4.028634280929261745e-19,-3.056169860064983368e-02,2.933892980217933655e-02
