3.447783179581165314e-03,-2.469398546963930130e-03,8.465282917022705078e-01,-3.753929585218429565e-02,2.873145230114459991e-02,1.131780818104743958e-01,9.924495220184326172e-01,6.915600597858428955e-02,5.041409656405448914e-02,-1.081725955009460449e-01,6.376942992210388184e-02,-1.767218112945556641e-01,3.503572195768356323e-02,-6.309196352958679199e-01,-2.124212682247161865e-02,-9.502122551202774048e-02,5.212606787681579590e-01,1.310558617115020752e-01,1.215173006057739258e-01,-4.045976102352142334e-01,1.181463599205017090e-01,4.248338639736175537e-01,-3.270393908023834229e-01,4.477442800998687744e-01,-4.360879659652709961e-01,6.065852046012878418e-01,2.362933009862899780e-01,-2.239187210798263550e-01,5.629618763923645020e-01,2.137367576360702515e-01,-2.418038398027420044e-01,1.643231064081192017e-01,1.152052402496337891e+00,1.330504566431045532e-01,-1.536850184202194214e-01,-3.513066768646240234e-01
1.129553094506263733e-02,-2.184698358178138733e-03,8.443322777748107910e-01,-3.718931972980499268e-02,2.497923187911510468e-02,1.214185655117034912e-01,9.915899038314819336e-01,8.718554675579071045e-02,5.131760239601135254e-02,-1.197050809860229492e-01,6.557506322860717773e-02,-1.949769407510757446e-01,2.777975052595138550e-02,-6.308975815773010254e-01,-3.240584209561347961e-02,-1.094968542456626892e-01,4.664229750633239746e-01,1.261459141969680786e-01,1.276195645332336426e-01,-4.206279516220092773e-01,1.126908883452415466e-01,4.312081933021545410e-01,-3.424339294433593750e-01,4.383010268211364746e-01,-4.472934603691101074e-01,6.182011961936950684e-01,2.433225810527801514e-01,-2.373994439840316772e-01,5.703777074813842773e-01,2.186330407857894897e-01,-2.349700182676315308e-01,1.686520278453826904e-01,1.179673790931701660e+00,1.342639178037643433e-01,-1.639361679553985596e-01,-3.484506905078887939e-01
1.912245340645313263e-02,-2.255231607705354691e-03,8.420315384864807129e-01,-3.530977666378021240e-02,2.177384495735168457e-02,1.306606531143188477e-01,9.905588626861572266e-01,1.073719859123229980e-01,5.055696517229080200e-02,-1.318614929914474487e-01,5.801595002412796021e-02,-2.064006477594375610e-01,2.166677452623844147e-02,-6.335247159004211426e-01,-5.505011230707168579e-02,-1.188628003001213074e-01,4.077560007572174072e-01,1.239272952079772949e-01,1.380621790885925293e-01,-4.388825893402099609e-01,1.045724898576736450e-01,4.377145767211914062e-01,-3.602245748043060303e-01,4.318618774414062500e-01,-4.598966240882873535e-01,6.212529540061950684e-01,2.506928741931915283e-01,-2.430967092514038086e-01,5.712538957595825195e-01,2.240951657295227051e-01,-2.306016981601715088e-01,1.691208779811859131e-01,1.199762701988220215e+00,1.328196525573730469e-01,-1.643168777227401733e-01,-3.463188111782073975e-01
2.756067737936973572e-02,-2.818846609443426132e-03,8.397260308265686035e-01,-3.322590887546539307e-02,1.765425130724906921e-02,1.389436572790145874e-01,9.895852804183959961e-01,1.295056939125061035e-01,5.114769190549850464e-02,-1.430236995220184326e-01,5.226323753595352173e-02,-2.170998752117156982e-01,1.591005548834800720e-02,-6.381043791770935059e-01,-8.235622942447662354e-02,-1.301985681056976318e-01,3.556648790836334229e-01,1.168025583028793335e-01,1.452642083168029785e-01,-4.553385078907012939e-01,9.841503947973251343e-02,4.428531527519226074e-01,-3.769431710243225098e-01,4.246459007263183594e-01,-4.712606668472290039e-01,6.172907948493957520e-01,2.533850371837615967e-01,-2.488683164119720459e-01,5.658563971519470215e-01,2.306810319423675537e-01,-2.242317646741867065e-01,1.667108088731765747e-01,1.213813424110412598e+00,1.325808465480804443e-01,-1.614232659339904785e-01,-3.427212238311767578e-01
3.878587111830711365e-02,-3.754355013370513916e-03,8.374323248863220215e-01,-3.495359793305397034e-02,1.181670185178518295e-02,1.481094509363174438e-01,9.882824420928955078e-01,1.560538709163665771e-01,6.276208907365798950e-02,-1.521839350461959839e-01,5.480328574776649475e-02,-2.399382889270782471e-01,6.355465389788150787e-03,-6.286972761154174805e-01,-1.048058345913887024e-01,-1.551494449377059937e-01,3.113688528537750244e-01,9.880944341421127319e-02,1.494970768690109253e-01,-4.703811109066009521e-01,9.842967242002487183e-02,4.423451721668243408e-01,-3.774158060550689697e-01,4.178710877895355225e-01,-4.868054986000061035e-01,6.112245321273803711e-01,2.584966123104095459e-01,-2.535903751850128174e-01,5.583190917968750000e-01,2.480461150407791138e-01,-2.143949121236801147e-01,1.700132042169570923e-01,1.221638202667236328e+00,1.291887462139129639e-01,-1.574289053678512573e-01,-3.386309146881103516e-01
4.855224117636680603e-02,-5.632341373711824417e-03,8.353627324104309082e-01,-3.365440294146537781e-02,6.518489681184291840e-03,1.567564159631729126e-01,9.870421886444091797e-01,1.784004867076873779e-01,6.912239640951156616e-02,-1.645185947418212891e-01,5.538967624306678772e-02,-2.506808340549468994e-01,-2.502275630831718445e-03,-6.242469549179077148e-01,-1.338003575801849365e-01,-1.773654967546463013e-01,2.744075655937194824e-01,8.942151069641113281e-02,1.547176390886306763e-01,-4.820878505706787109e-01,9.822891652584075928e-02,4.428630769252777100e-01,-3.819971978664398193e-01,4.113974869251251221e-01,-5.037047863006591797e-01,6.025006175041198730e-01,2.631580531597137451e-01,-2.591061294078826904e-01,5.471037030220031738e-01,2.575927376747131348e-01,-2.072845697402954102e-01,1.693865805864334106e-01,1.225886344909667969e+00,1.269344538450241089e-01,-1.533488780260086060e-01,-3.340242505073547363e-01
5.807172134518623352e-02,-8.162878453731536865e-03,8.330920338630676270e-01,-3.196628391742706299e-02,3.475509583950042725e-03,1.649552285671234131e-01,9.857767820358276367e-01,1.970445215702056885e-01,7.557942718267440796e-02,-1.749539524316787720e-01,5.200576782226562500e-02,-2.622922360897064209e-01,-9.604547172784805298e-03,-6.192334294319152832e-01,-1.647045314311981201e-01,-1.978367418050765991e-01,2.521710097789764404e-01,8.508814126253128052e-02,1.580005586147308350e-01,-4.897965490818023682e-01,9.824234247207641602e-02,4.443151354789733887e-01,-3.897437751293182373e-01,4.049963355064392090e-01,-5.233098268508911133e-01,5.934481024742126465e-01,2.667729854583740234e-01,-2.634341418743133545e-01,5.316743254661560059e-01,2.618713378906250000e-01,-2.023779898881912231e-01,1.670844405889511108e-01,1.231422305107116699e+00,1.257526874542236328e-01,-1.460121423006057739e-01,-3.283645510673522949e-01
6.806010752916336060e-02,-1.126716379076242447e-02,8.308593034744262695e-01,-2.979170717298984528e-02,1.613834174349904060e-03,1.730839610099792480e-01,9.844550490379333496e-01,2.119915485382080078e-01,8.139085024595260620e-02,-1.881743669509887695e-01,5.129993334412574768e-02,-2.716214656829833984e-01,-1.683733612298965454e-02,-6.127653717994689941e-01,-1.927676051855087280e-01,-2.160751819610595703e-01,2.398981004953384399e-01,8.281359821557998657e-02,1.589472591876983643e-01,-4.941831529140472412e-01,1.009408086538314819e-01,4.465793669223785400e-01,-4.005806446075439453e-01,3.988172709941864014e-01,-5.450085401535034180e-01,5.845032930374145508e-01,2.695606648921966553e-01,-2.683100700378417969e-01,5.115916132926940918e-01,2.630705237388610840e-01,-1.993560492992401123e-01,1.657896786928176880e-01,1.238816857337951660e+00,1.239213049411773682e-01,-1.371626704931259155e-01,-3.226722776889801025e-01
7.853313535451889038e-02,-1.492859236896038055e-02,8.288606405258178711e-01,-2.850343473255634308e-02,6.210568244569003582e-04,1.808021068572998047e-01,9.831061959266662598e-01,2.244553267955780029e-01,9.022868424654006958e-02,-2.016682773828506470e-01,5.153696238994598389e-02,-2.799523472785949707e-01,-2.119103074073791504e-02,-6.075230836868286133e-01,-2.190630733966827393e-01,-2.346026152372360229e-01,2.392017096281051636e-01,8.179473876953125000e-02,1.605253219604492188e-01,-4.940362572669982910e-01,1.052413433790206909e-01,4.472005963325500488e-01,-4.114385843276977539e-01,3.931629657745361328e-01,-5.672309994697570801e-01,5.761505961418151855e-01,2.687340676784515381e-01,-2.724395990371704102e-01,4.884120523929595947e-01,2.622654736042022705e-01,-1.982015520334243774e-01,1.625133156776428223e-01,1.246345162391662598e+00,1.248124018311500549e-01,-1.292760372161865234e-01,-3.172835707664489746e-01
8.994600921869277954e-02,-1.907959207892417908e-02,8.267219066619873047e-01,-2.623059041798114777e-02,4.926481051370501518e-04,1.880511939525604248e-01,9.818087816238403320e-01,2.363066226243972778e-01,9.790167957544326782e-02,-2.141427099704742432e-01,5.174817144870758057e-02,-2.860148251056671143e-01,-2.391089871525764465e-02,-5.997507572174072266e-01,-2.440639287233352661e-01,-2.531365454196929932e-01,2.464542537927627563e-01,9.233709424734115601e-02,1.625195592641830444e-01,-4.899483323097229004e-01,1.102381423115730286e-01,4.460085034370422363e-01,-4.217052459716796875e-01,3.887687027454376221e-01,-5.904071927070617676e-01,5.682734251022338867e-01,2.641343474388122559e-01,-2.762747108936309814e-01,4.653777778148651123e-01,2.602125704288482666e-01,-1.983844041824340820e-01,1.585642844438552856e-01,1.251997828483581543e+00,1.265577971935272217e-01,-1.224599331617355347e-01,-3.102389574050903320e-01
